sentence,sentiment
यह संगीत समारोह अविस्मरणीय था।,positive
मुझे इस दुकान की ग्राहक सेवा से निराशा हुई।,negative
मैं इस फिल्म के रिलीज होने का इंतजार कर रहा हूँ।,neutral
यह नया पार्क बहुत अच्छा डिज़ाइन किया गया है।,positive
इस होटल की कीमतें बहुत ज्यादा हैं।,negative
मैं इस किताब को अपने दोस्तों को सुझाऊँगा।,neutral
यह छुट्टी मेरे लिए बहुत यादगार थी।,positive
मुझे इस ट्रेन की देरी से बहुत परेशानी हुई।,negative
मैं इस उत्पाद के बारे में और जानना चाहता हूँ।,neutral
यह नया रेस्तरां शहर में सबसे अच्छा है।,positive
इस मोबाइल की बैटरी लाइफ बहुत खराब है।,negative
मैं इस विषय पर अपनी राय बाद में दूँगा।,neutral
यह समुद्र तट बहुत साफ और सुंदर है।,positive
इस दुकान में सामान की गुणवत्ता कम है।,negative
मैं इस किताब को जल्दी खत्म करना चाहता हूँ।,neutral
यह नया गाना बहुत लोकप्रिय हो रहा है।,positive
मुझे इस होटल की साफ-सफाई से शिकायत है।,negative
मैं इस विषय पर और अध्ययन करूँगा।,neutral
इस त्योहार ने मुझे बहुत खुशी दी।,positive
इस दुकान की वापसी नीति बहुत जटिल है।,negative
मैं इस रेस्तरां में पहले भी खा चुका हूँ।,neutral
यह नया उत्पाद मेरी उम्मीदों से बेहतर है।,positive
मुझे इस बस की समय-सारिणी समझ नहीं आई।,negative
मैं इस किताब के लेखक से मिलना चाहता हूँ।,neutral
इस संग्रहालय की प्रदर्शनी बहुत रोचक थी।,positive
मेरे नए लैपटॉप की स्क्रीन खराब हो गई।,negative
मैं इस फिल्म को दोस्तों के साथ देखना चाहूँगा।,neutral
यह नया कैफे बहुत शांत और आरामदायक है।,positive
इस टैक्सी ड्राइवर ने मुझसे ज्यादा पैसे लिए।,negative
मैं इस विषय पर अपनी राय बाद में दूँगा।,neutral
यह छुट्टी मेरे लिए बहुत ताज़ा थी।,positive
इस दुकान की ग्राहक सेवा बहुत खराब है।,negative
मैं इस जगह के इतिहास के बारे में जानना चाहता हूँ।,neutral
यह नया गाना मेरे पसंदीदा गानों में से एक है।,positive
मुझे इस होटल में खाने की गुणवत्ता से शिकायत है।,negative
मैं इस किताब को अपने भाई को उपहार दूँगा।,neutral
इस शहर की सड़कें बहुत सुंदर हैं।,positive
मेरी कार की सर्विस बहुत महंगी थी।,negative
मैं इस उत्पाद के फीचर्स से संतुष्ट हूँ।,neutral
यह नया रेस्तरां बहुत लोकप्रिय हो रहा है।,positive
इस ट्रेन में कोई सुविधा नहीं थी।,negative
मैं इस फिल्म के बारे में और जानना चाहता हूँ।,neutral
यह पार्क बच्चों के लिए बहुत सुरक्षित है।,positive
मुझे इस मोबाइल की कीमत बहुत ज्यादा लगी।,negative
मैं इस विषय पर ज्यादा नहीं बोलना चाहता।,neutral
यह समुद्र तट बहुत शांत और सुंदर है।,positive
इस दुकान में सामान की विविधता कम है।,negative
मैं इस किताब को दोबारा पढ़ना चाहूँगा।,neutral
यह नया गाना बहुत भावनात्मक है।,positive
मुझे इस होटल की बुकिंग प्रक्रिया से परेशानी हुई।,negative
मैं इस मामले पर अपनी राय बाद में दूँगा।,neutral
इस शहर का सांस्कृतिक माहौल बहुत जीवंत है।,positive
मेरे नए हेडफोन्स की ध्वनि बहुत खराब है।,negative
मैं इस रेस्तरां में फिर से खाना चाहूँगा।,neutral
यह नया उपन्यास बहुत रोमांचक है।,positive
इस बस की सीटें बहुत असहज थीं।,negative
मैं इस विषय पर और जानकारी इकट्ठा करूँगा।,neutral
यह संगीत समारोह अविस्मरणीय था।,positive
मुझे इस दुकान की ग्राहक सेवा से निराशा हुई।,negative
मैं इस फिल्म के रिलीज होने का इंतजार कर रहा हूँ।,neutral
यह नया पार्क बहुत अच्छा डिज़ाइन किया गया है।,positive
इस होटल की कीमतें बहुत ज्यादा हैं।,negative
मैं इस किताब को अपने दोस्तों को सुझाऊँगा।,neutral
यह छुट्टी मेरे लिए बहुत यादगार थी।,positive
मुझे इस ट्रेन की देरी से बहुत परेशानी हुई।,negative
मैं इस उत्पाद के बारे में और जानना चाहता हूँ।,neutral
यह नया रेस्तरां शहर में सबसे अच्छा है।,positive
इस मोबाइल की बैटरी लाइफ बहुत खराब है।,negative
मैं इस विषय पर अपनी राय बाद में दूँगा।,neutral
यह समुद्र तट बहुत साफ और सुंदर है।,positive
इस दुकान में सामान की गुणवत्ता कम है।,negative
मैं इस किताब को जल्दी खत्म करना चाहता हूँ।,neutral
यह नया गाना बहुत लोकप्रिय हो रहा है।,positive
मुझे इस होटल की साफ-सफाई से शिकायत है।,negative
मैं इस विषय पर और अध्ययन करूँगा।,neutral
इस त्योहार ने मुझे बहुत खुशी दी।,positive
इस दुकान की वापसी नीति बहुत जटिल है।,negative
मैं इस रेस्तरां में पहले भी खा चुका हूँ।,neutral
यह नया उत्पाद मेरी उम्मीदों से बेहतर है।,positive
मुझे इस बस की समय-सारिणी समझ नहीं आई।,negative
मैं इस किताब के लेखक से मिलना चाहता हूँ।,neutral
इस संग्रहालय की प्रदर्शनी बहुत रोचक थी।,positive
मेरे नए लैपटॉप की स्क्रीन खराब हो गई।,negative
मैं इस फिल्म को दोस्तों के साथ देखना चाहूँगा।,neutral
यह नया कैफे बहुत शांत और आरामदायक है।,positive
इस टैक्सी ड्राइवर ने मुझसे ज्यादा पैसे लिए।,negative
मैं इस विषय पर अपनी राय बाद में दूँगा।,neutral
यह छुट्टी मेरे लिए बहुत ताज़ा थी।,positive
इस दुकान की ग्राहक सेवा बहुत खराब है।,negative
मैं इस जगह के इतिहास के बारे में जानना चाहता हूँ।,neutral
यह नया गाना मेरे पसंदीदा गानों में से एक है।,positive
मुझे इस होटल में खाने की गुणवत्ता से शिकायत है।,negative
मैं इस किताब को अपने भाई को उपहार दूँगा।,neutral
इस शहर की सड़कें बहुत सुंदर हैं।,positive
मेरी कार की सर्विस बहुत महंगी थी।,negative
मैं इस उत्पाद के फीचर्स से संतुष्ट हूँ।,neutral
यह नया रेस्तरां बहुत लोकप्रिय हो रहा है।,positive
इस ट्रेन में कोई सुविधा नहीं थी।,negative
मैं इस फिल्म के बारे में और जानना चाहता हूँ।,neutral
यह पार्क बच्चों के लिए बहुत सुरक्षित है।,positive
मुझे इस मोबाइल की कीमत बहुत ज्यादा लगी।,negative
मैं इस विषय पर ज्यादा नहीं बोलना चाहता।,neutral
यह समुद्र तट बहुत शांत और सुंदर है।,positive
इस दुकान में सामान की विविधता कम है।,negative
मैं इस किताब को दोबारा पढ़ना चाहूँगा।,neutral
यह नया गाना बहुत भावनात्मक है।,positive
मुझे इस होटल की बुकिंग प्रक्रिया से परेशानी हुई।,negative
मैं इस मामले पर अपनी राय बाद में दूँगा।,neutral
इस शहर का सांस्कृतिक माहौल बहुत जीवंत है।,positive
मेरे नए हेडफोन्स की ध्वनि बहुत खराब है।,negative
मैं इस रेस्तरां में फिर से खाना चाहूँगा।,neutral
यह नया उपन्यास बहुत रोमांचक है।,positive
इस बस की सीटें बहुत असहज थीं।,negative
मैं इस विषय पर और जानकारी इकट्ठा करूँगा।,neutral
यह संगीत समारोह अविस्मरणीय था।,positive
मुझे इस दुकान की ग्राहक सेवा से निराशा हुई।,negative
मैं इस फिल्म के रिलीज होने का इंतजार कर रहा हूँ।,neutral
यह नया पार्क बहुत अच्छा डिज़ाइन किया गया है।,positive
इस होटल की कीमतें बहुत ज्यादा हैं।,negative
मैं इस किताब को अपने दोस्तों को सुझाऊँगा।,neutral
यह छुट्टी मेरे लिए बहुत यादगार थी।,positive
मुझे इस ट्रेन की देरी से बहुत परेशानी हुई।,negative
मैं इस उत्पाद के बारे में और जानना चाहता हूँ।,neutral
यह फिल्म बेहद शानदार थी।,positive
मुझे यह किताब पढ़कर बहुत निराशा हुई।,negative
इस विषय पर मेरी कोई विशेष राय नहीं है।,neutral
यह सेवा उम्मीद से कहीं बेहतर थी।,positive
मुझे यह निर्णय सही नहीं लगा।,negative
मौसम आज कुछ सामान्य है।,neutral
उस होटल का खाना लाजवाब था।,positive
मुझे वहाँ का व्यवहार अपमानजनक लगा।,negative
मेरे लिए यह केवल एक औसत अनुभव था।,neutral
यह यात्रा अविस्मरणीय रही।,positive
इस प्रोजेक्ट से मैं संतुष्ट नहीं हूँ।,negative
मेरी इसमें कोई खास दिलचस्पी नहीं है।,neutral
वह मोबाइल फोन सच में कमाल का है।,positive
मुझे यह खेल बहुत उबाऊ लगा।,negative
मैं इस पर कोई टिप्पणी नहीं करना चाहता।,neutral
उनके शब्द दिल को छू गए।,positive
मुझे उनकी बातें कुछ ठीक नहीं लगीं।,negative
इस मामले में मेरी कोई राय नहीं है।,neutral
वह रेस्तरां बहुत अच्छा था।,positive
इस योजना से मैं असहमत हूँ।,negative
यह जानकारी मेरे लिए महत्वहीन है।,neutral
वह किताब बहुत प्रेरणादायक थी।,positive
मुझे यह सेवा बिल्कुल पसंद नहीं आई।,negative
इस घटना पर मैं कुछ नहीं कह सकता।,neutral
वह संगीत कार्यक्रम अद्भुत था।,positive
मुझे उसकी हरकतों से दुख हुआ।,negative
मेरा इस मुद्दे पर कोई पक्ष नहीं है।,neutral
वह फिल्म मनोरंजक और ज्ञानवर्धक थी।,positive
मुझे वहाँ का माहौल अच्छा नहीं लगा।,negative
इस विषय में मेरी कोई विशेष रुचि नहीं है।,neutral
यह अनुभव मेरे लिए बहुत सुखद था।,positive
मुझे यह उपहार बेकार लगा।,negative
इस चर्चा में मेरी कोई भूमिका नहीं है।,neutral
वह जगह बहुत सुंदर और शांत थी।,positive
मुझे वहाँ की भीड़ पसंद नहीं आई।,negative
मेरे लिए यह कोई बड़ा मुद्दा नहीं है।,neutral
वह अनुभव बहुत ही रोचक था।,positive
मुझे उस व्यक्ति पर भरोसा नहीं हुआ।,negative
इस निर्णय पर मेरी कोई राय नहीं है।,neutral
वह कोर्स बहुत लाभकारी रहा।,positive
मुझे उस होटल की सफाई पसंद नहीं आई।,negative
मेरी इसमें कोई दिलचस्पी नहीं है।,neutral
वह पुस्तक पढ़कर मुझे आनंद मिला।,positive
मुझे वहाँ की सेवा निराशाजनक लगी।,negative
इस विषय पर मेरे विचार तटस्थ हैं।,neutral
वह यात्रा मेरे लिए यादगार बन गई।,positive
मुझे उस प्रस्तुति में कोई आकर्षण नहीं लगा।,negative
इस प्रश्न पर मेरी कोई प्रतिक्रिया नहीं है।,neutral
वह फिल्म देखने लायक थी।,positive
मुझे उस सलाह से नुकसान हुआ।,negative
मुझे इस बारे में कुछ भी नहीं कहना है।,neutral
वह सैर बेहद सुकून भरी थी।,positive
मुझे वहाँ का खाना पसंद नहीं आया।,negative
मेरे विचार इस पर स्पष्ट नहीं हैं।,neutral
वह अनुभव बेहद सुखद था।,positive
मुझे उनकी बातें अपमानजनक लगीं।,negative
इस विषय पर मेरा कोई पक्ष नहीं है।,neutral
वह निर्णय मेरे लिए सही रहा।,positive
मुझे वह सुझाव व्यर्थ लगा।,negative
मेरी इसमें कोई विशेष राय नहीं है।,neutral
वह उत्पाद मेरी उम्मीदों पर खरा उतरा।,positive
मुझे उसका व्यवहार अस्वीकार्य लगा।,negative
मुझे इस विषय में कोई रुचि नहीं है।,neutral
वह फिल्म शानदार अभिनय से भरपूर थी।,positive
मुझे यह प्रस्तुति उबाऊ लगी।,negative
इस विषय पर मेरी कोई सोच नहीं है।,neutral
वह किताब पढ़ना आनंददायक अनुभव था।,positive
मुझे वहाँ की व्यवस्था खराब लगी।,negative
मुझे इस पर कुछ नहीं कहना है।,neutral
वह सफर बहुत रोमांचक रहा।,positive
मुझे वहाँ की भीड़ से परेशानी हुई।,negative
मेरी इसमें कोई दिलचस्पी नहीं है।,neutral
वह फिल्म उम्मीद से कहीं बेहतर थी।,positive
मुझे वह अनुभव असहज लगा।,negative
मुझे इस विषय पर कोई भावना नहीं है।,neutral
वह व्याख्यान अत्यंत ज्ञानवर्धक था।,positive
मुझे वहाँ की सेवा संतोषजनक नहीं लगी।,negative
इस पर मेरी कोई टिप्पणी नहीं है।,neutral
वह उत्पाद अत्यंत उपयोगी साबित हुआ।,positive
मुझे उसकी भाषा आपत्तिजनक लगी।,negative
मुझे इसमें कोई रूचि नहीं है।,neutral
वह गीत बहुत मधुर था।,positive
मुझे वहाँ का माहौल बोझिल लगा।,negative
इस विषय पर मेरी राय स्पष्ट नहीं है।,neutral
वह कार्यक्रम बहुत ही मनोरंजक था।,positive
मुझे उस पर विश्वास नहीं हुआ।,negative
मुझे इसमें कोई दिलचस्पी नहीं है।,neutral
वह स्थान बहुत सुंदर था।,positive
मुझे वहाँ की सुविधा पसंद नहीं आई।,negative
मुझे इसमें कोई खास भावना नहीं है।,neutral
वह पाठ्यक्रम मेरे लिए लाभकारी था।,positive
मुझे उनकी बातें कष्टदायक लगीं।,negative
मुझे इसमें कोई रुचि नहीं है।,neutral
वह समीक्षा बहुत सकारात्मक थी।,positive
मुझे वहाँ का अनुभव खराब लगा।,negative
मुझे इसमें कोई टिप्पणी नहीं करनी है।,neutral
वह प्रस्तुति बहुत सराहनीय थी।,positive
मुझे उसकी सलाह से हानि हुई।,negative
इस विषय पर मेरी कोई राय नहीं है।,neutral
वह यात्रा सुखद अनुभव रही।,positive
मुझे वहाँ की अव्यवस्था से दुख हुआ।,negative
मुझे इसमें कोई विचार नहीं है।,neutral
वह फिल्म अत्यंत प्रेरणादायक थी।,positive
मुझे वहाँ का व्यवहार अस्वीकार्य लगा।,negative
मुझे इसमें कोई भावना नहीं है।,neutral
वह होटल का कमरा बहुत आरामदायक था।,positive
मुझे वहाँ की भीड़ असहज लगी।,negative
इस विषय पर मेरा कोई पक्ष नहीं है।,neutral
वह पुस्तक ज्ञानवर्धक थी।,positive
मुझे वहाँ की व्यवस्था बेकार लगी।,negative
मुझे इसमें कोई विशेष विचार नहीं है।,neutral
वह सेवा समय पर और उत्तम थी।,positive
मुझे उस अनुभव से निराशा हुई।,negative
मुझे इसमें कोई रुचि नहीं है।,neutral
वह शो बहुत ही रोचक था।,positive
मुझे वहाँ की स्थिति ठीक नहीं लगी।,negative
इस विषय में मेरी कोई राय नहीं है।,neutral
वह यात्रा बेहद सुखद रही।,positive
मुझे वहाँ का माहौल उबाऊ लगा।,negative
मुझे इसमें कोई दिलचस्पी नहीं है।,neutral
वह फिल्म देख कर खुशी हुई।,positive
मुझे वहाँ का खाना अस्वादिष्ट लगा।,negative
मुझे इसमें कोई प्रतिक्रिया नहीं देनी है।,neutral
वह अनुभव अविस्मरणीय था।,positive
मुझे वहाँ की बदइंतजामी परेशान कर गई।,negative
मुझे इसमें कोई राय नहीं है।,neutral
वह किताब पढ़कर प्रेरणा मिली।,positive
मुझे वहाँ की व्यवस्था कष्टदायक लगी।,negative
मुझे इसमें कोई विशेष रुचि नहीं है।,neutral
वह होटल में सेवाएं बेहतरीन थीं।,positive
मुझे वहाँ का व्यवहार अपमानजनक लगा।,negative
मुझे इसमें कोई राय नहीं है।,neutral
वह कार्यक्रम अत्यंत मनोरंजक था।,positive
मुझे वहाँ की भीड़ असहज लगी।,negative
मुझे इसमें कोई दिलचस्पी नहीं है।,neutral
वह उत्पाद मेरी अपेक्षाओं पर खरा उतरा।,positive
मुझे वहाँ की सुविधाएं घटिया लगीं।,negative
मुझे इसमें कोई भावना नहीं है।,neutral
वह फिल्म देखना सुखद अनुभव था।,positive
मुझे वहाँ की अव्यवस्था से दुख हुआ।,negative
मुझे इसमें कोई विचार नहीं है।,neutral
वह प्रस्तुति बहुत शानदार रही।,positive
मुझे वहाँ का वातावरण खराब लगा।,negative
मुझे इसमें कोई टिप्पणी नहीं है।,neutral
वह यात्रा आनंदमयी रही।,positive
मुझे वहाँ की सफाई पसंद नहीं आई।,negative
मुझे इसमें कोई भावना नहीं है।,neutral
वह सेवा अत्यंत उत्कृष्ट थी।,positive
मुझे वहाँ का अनुभव असंतोषजनक लगा।,negative
मुझे इसमें कोई रुचि नहीं है।,neutral
वह पाठ्यक्रम लाभकारी था।,positive
मुझे वहाँ की व्यवस्था खराब लगी।,negative
मुझे इसमें कोई विचार नहीं है।,neutral
वह फिल्म प्रेरणादायक थी।,positive
मुझे वहाँ का खाना बेस्वाद लगा।,negative
मुझे इसमें कोई राय नहीं है।,neutral
वह पुस्तक पढ़ना सुखद अनुभव था।,positive
मुझे वहाँ की व्यवस्था बेकार लगी।,negative
मुझे इसमें कोई टिप्पणी नहीं है।,neutral
वह कार्यक्रम अत्यंत रोचक रहा।,positive
मुझे वहाँ का माहौल बोझिल लगा।,negative
मुझे इसमें कोई विचार नहीं है।,neutral
वह सैर बहुत आनंददायक थी।,positive
मुझे वहाँ की गंदगी से निराशा हुई।,negative
मुझे इसमें कोई राय व्यक्त नहीं करनी है।,neutral
वह फिल्म देखने में बहुत मजा आया।,positive
मुझे वहाँ की सेवा असंतोषजनक लगी।,negative
मुझे इसमें कोई खास दिलचस्पी नहीं है।,neutral
वह किताब प्रेरक और रोचक थी।,positive
मुझे वहाँ की अव्यवस्था परेशान कर गई।,negative
मुझे इसमें कोई विचार प्रकट नहीं करना है।,neutral
वह अनुभव बेहद सुखद रहा।,positive
मुझे वहाँ की सफाई पर आपत्ति हुई।,negative
मुझे इसमें कोई भावना नहीं है।,neutral
वह प्रस्तुति अद्भुत रही।,positive
मुझे वहाँ की स्थिति से असुविधा हुई।,negative
मुझे इसमें कोई पक्ष नहीं लेना है।,neutral
वह होटल का कमरा बहुत आरामदायक था।,positive
मुझे वहाँ का खाना बिल्कुल पसंद नहीं आया।,negative
मुझे इसमें कोई रुचि नहीं है।,neutral
वह यात्रा स्मरणीय अनुभव रही।,positive
मुझे वहाँ की भीड़ से असहजता हुई।,negative
मुझे इसमें कोई टिप्पणी नहीं करनी है।,neutral
वह सेवा अत्यधिक सराहनीय थी।,positive
मुझे वहाँ का व्यवहार खराब लगा।,negative
मुझे इसमें कोई भावना नहीं है।,neutral
वह कार्यक्रम मनोरंजन से भरपूर था।,positive
मुझे वहाँ का वातावरण पसंद नहीं आया।,negative
मुझे इसमें कोई खास राय नहीं है।,neutral
वह फिल्म बेहद शानदार अनुभव था।,positive
मुझे वहाँ की सुविधाएं बेकार लगीं।,negative
मुझे इसमें कोई विचार व्यक्त नहीं करना है।,neutral
वह पुस्तक ज्ञानवर्धक और उपयोगी रही।,positive
मुझे वहाँ का अनुभव अच्छा नहीं लगा।,negative
मुझे इसमें कोई प्रतिक्रिया नहीं देनी है।,neutral
वह प्रस्तुति देखकर खुशी हुई।,positive
मुझे वहाँ की अव्यवस्था से निराशा हुई।,negative
मुझे इसमें कोई राय नहीं है।,neutral
वह यात्रा आनंदमयी और सुकूनभरी रही।,positive
मुझे वहाँ की गंदगी से दुख हुआ।,negative
मुझे इसमें कोई विचार नहीं है।,neutral
वह कार्यक्रम बहुत प्रेरणादायक था।,positive
मुझे वहाँ का माहौल तनावपूर्ण लगा।,negative
मुझे इसमें कोई टिप्पणी नहीं है।,neutral
वह होटल की सेवा प्रशंसनीय थी।,positive
मुझे वहाँ की स्थिति कष्टदायक लगी।,negative
मुझे इसमें कोई भावना नहीं है।,neutral
वह फिल्म ज्ञानवर्धक थी।,positive
मुझे वहाँ की सुविधाएं घटिया लगीं।,negative
मुझे इसमें कोई राय नहीं है।,neutral
वह यात्रा यादगार अनुभव रही।,positive
मुझे वहाँ का खाना बेस्वाद लगा।,negative
मुझे इसमें कोई विचार नहीं है।,neutral
वह प्रस्तुति अत्यंत मनोरंजक रही।,positive
मुझे वहाँ की व्यवस्था असंतोषजनक लगी।,negative
मुझे इसमें कोई प्रतिक्रिया नहीं है।,neutral
वह किताब पढ़कर अच्छा अनुभव हुआ।,positive
मुझे वहाँ की सफाई खराब लगी।,negative
मुझे इसमें कोई टिप्पणी नहीं करनी है।,neutral
वह शो बहुत प्रेरणादायक था।,positive
मुझे वहाँ की भीड़ परेशान कर गई।,negative
मुझे इसमें कोई रुचि नहीं है।,neutral
वह फिल्म सुखद अनुभव रही।,positive
मुझे वहाँ का व्यवहार अशिष्ट लगा।,negative
मुझे इसमें कोई विचार व्यक्त नहीं करना है।,neutral
वह सेवा बहुत उम्दा रही।,positive
मुझे वहाँ की व्यवस्था पसंद नहीं आई।,negative
मुझे इसमें कोई राय नहीं है।,neutral
वह यात्रा बहुत ही सुखद थी।,positive
मुझे वहाँ की सुविधाएं असुविधाजनक लगीं।,negative
मुझे इसमें कोई भावना नहीं है।,neutral
वह प्रस्तुति देखकर आनंद मिला।,positive
मुझे वहाँ का खाना अच्छा नहीं लगा।,negative
मुझे इसमें कोई प्रतिक्रिया नहीं है।,neutral
वह कार्यक्रम अत्यंत रोचक था।,positive
मुझे वहाँ की व्यवस्था घटिया लगी।,negative
मुझे इसमें कोई टिप्पणी नहीं करनी है।,neutral
वह यात्रा बहुत प्रेरणादायक रही।,positive
मुझे वहाँ की भीड़ असहज लगी।,negative
मुझे इसमें कोई राय नहीं है।,neutral
वह सेवा समय पर और उत्तम रही।,positive
मुझे वहाँ का माहौल निराशाजनक लगा।,negative
मुझे इसमें कोई विचार नहीं है।,neutral
वह किताब पढ़कर प्रसन्नता हुई।,positive
मुझे वहाँ की सफाई पर आपत्ति हुई।,negative
मुझे इसमें कोई प्रतिक्रिया नहीं है।,neutral
वह फिल्म बहुत ही रोचक थी।,positive
मुझे वहाँ का खाना उबाऊ लगा।,negative
मुझे इसमें कोई राय नहीं है।,neutral
वह यात्रा सुखद और अविस्मरणीय रही।,positive
मुझे वहाँ की स्थिति खराब लगी।,negative
मुझे इसमें कोई टिप्पणी नहीं है।,neutral
वह प्रस्तुति बेहद शानदार रही।,positive
मुझे वहाँ की सुविधाएं ठीक नहीं लगीं।,negative
मुझे इसमें कोई भावना नहीं है।,neutral
वह सेवा अत्यंत प्रशंसनीय रही।,positive
मुझे वहाँ का माहौल तनावपूर्ण लगा।,negative
मुझे इसमें कोई प्रतिक्रिया नहीं है।,neutral
वह फिल्म देख कर मन प्रसन्न हुआ।,positive
मुझे वहाँ की भीड़ से असुविधा हुई।,negative
मुझे इसमें कोई राय नहीं है।,neutral
वह अनुभव बेहद सुखद था।,positive
मुझे वहाँ की व्यवस्था खराब लगी।,negative
मुझे इसमें कोई विचार नहीं है।,neutral
वह प्रस्तुति अत्यधिक मनोरंजक थी।,positive
मुझे वहाँ की सफाई पसंद नहीं आई।,negative
मुझे इसमें कोई टिप्पणी नहीं है।,neutral
वह यात्रा आनंददायक अनुभव रही।,positive
मुझे वहाँ की सुविधाएं घटिया लगीं।,negative
मुझे इसमें कोई प्रतिक्रिया नहीं है।,neutral
वह सेवा अत्यधिक सराहनीय थी।,positive
मुझे वहाँ का माहौल बोझिल लगा।,negative
मुझे इसमें कोई राय नहीं है।,neutral
वह कार्यक्रम बहुत प्रेरणादायक था।,positive
मुझे वहाँ की व्यवस्था असंतोषजनक लगी।,negative
मुझे इसमें कोई भावना नहीं है।,neutral
वह फिल्म देखकर खुशी हुई।,positive
मुझे वहाँ की भीड़ से परेशानी हुई।,negative
मुझे इसमें कोई विचार नहीं है।,neutral
वह प्रस्तुति बहुत प्रभावशाली रही।,positive
मुझे वहाँ का खाना बेस्वाद लगा।,negative
मुझे इसमें कोई प्रतिक्रिया नहीं है।,neutral
वह यात्रा स्मरणीय रही।,positive
मुझे वहाँ की व्यवस्था उबाऊ लगी।,negative
मुझे इसमें कोई टिप्पणी नहीं है।,neutral
वह सेवा प्रशंसनीय रही।,positive
मुझे वहाँ का माहौल निराशाजनक लगा।,negative
मुझे इसमें कोई राय नहीं है।,neutral
वह फिल्म देखकर मन खुश हुआ।,positive
मुझे वहाँ की सफाई पर आपत्ति हुई।,negative
मुझे इसमें कोई विचार नहीं है।,neutral
वह अनुभव अत्यंत सुखद था।,positive
मुझे वहाँ की व्यवस्था असुविधाजनक लगी।,negative
मुझे इसमें कोई प्रतिक्रिया नहीं है।,neutral
वह प्रस्तुति अत्यधिक प्रेरणादायक रही।,positive
मुझे वहाँ का खाना अच्छा नहीं लगा।,negative
मुझे इसमें कोई राय नहीं है।,neutral
वह यात्रा बहुत आनंददायक रही।,positive
मुझे वहाँ की सुविधाएं खराब लगीं।,negative
मुझे इसमें कोई टिप्पणी नहीं है।,neutral
वह सेवा अत्यंत प्रशंसनीय रही।,positive
मुझे वहाँ का माहौल बोझिल लगा।,negative
मुझे इसमें कोई विचार नहीं है।,neutral
वह फिल्म देखकर खुशी हुई।,positive
मुझे वहाँ की भीड़ से असहजता हुई।,negative
मुझे इसमें कोई प्रतिक्रिया नहीं है।,neutral
यह फिल्म बहुत अच्छी थी।,positive
मुझे यह अनुभव निराशाजनक लगा।,negative
इस विषय पर मेरी कोई खास राय नहीं है।,neutral
आज का मौसम बहुत सुहावना है।,positive
यह रेस्टोरेंट का खाना बिल्कुल बेस्वाद था।,negative
ट्रैफिक आज सामान्य है।,neutral
मेरे बच्चे की परीक्षा में अच्छे अंक आए हैं।,positive
यह सेवा बहुत धीमी और निराशाजनक है।,negative
कल बारिश होगी या नहीं पता नहीं।,neutral
इस कंपनी का काम बहुत बेहतरीन है।,positive
मुझे यह प्रोडक्ट बिल्कुल पसंद नहीं आया।,negative
यह किताब ठीक-ठाक है।,neutral
आज मैं बहुत खुश हूं।,positive
यह वेबसाइट बहुत धीमी है।,negative
मैं इस बारे में कुछ नहीं कह सकता।,neutral
यह यात्रा अविस्मरणीय थी।,positive
मुझे यह नौकरी से बहुत परेशानी हो रही है।,negative
यह रंग ठीक लग रहा है।,neutral
मेरी बेटी ने डांस कॉम्पिटिशन जीता है।,positive
यह होटल की सेवा बहुत खराब है।,negative
आज का दिन सामान्य रहा।,neutral
इस गाने को सुनकर मन प्रसन्न हो गया।,positive
यह कैमरा बिल्कुल काम नहीं कर रहा।,negative
मुझे इस विषय में कोई दिलचस्पी नहीं है।,neutral
यह त्योहार बहुत धूमधाम से मनाया गया।,positive
मेरा फोन बार-बार हैंग हो जाता है।,negative
यह जगह देखने में अच्छी लगती है।,neutral
मुझे यह उपहार बहुत पसंद आया।,positive
ट्रेन में बहुत भीड़ थी और असुविधाजनक थी।,negative
मैं इस मामले में तटस्थ रहूंगा।,neutral
यह व्यंजन स्वादिष्ट और लाजवाब है।,positive
मुझे यह नई नीति समझ नहीं आ रही।,negative
यह इमारत काफी पुरानी है।,neutral
आज मैंने एक सुंदर सपना देखा।,positive
यह दुकान का व्यवहार बहुत अशिष्ट था।,negative
मैं इस विषय पर कोई टिप्पणी नहीं करना चाहता।,neutral
मेरे दोस्त की शादी बहुत शानदार थी।,positive
